epoch,latents_loss,learning_rate,loss,reconstruction_loss,species_loss,val_latents_loss,val_loss,val_reconstruction_loss,val_species_loss
0,27.506305694580078,0.0010000000474974513,194.0994415283203,116.88903045654297,49.70414733886719,13.42625904083252,105.35562133789062,70.192138671875,21.875823974609375
1,7.1153740882873535,0.0010000000474974513,25.065460205078125,11.226421356201172,6.72365665435791,7.640844821929932,78.46385192871094,57.014556884765625,13.979426383972168
2,6.355738639831543,0.0010000000474974513,20.188100814819336,8.541772842407227,5.290583610534668,7.081812858581543,32.53904342651367,17.777193069458008,7.75955057144165
3,5.9964280128479,0.0010000000474974513,17.666629791259766,6.979038715362549,4.691160202026367,6.772759914398193,22.667823791503906,9.75484848022461,6.200984477996826
4,5.778824806213379,0.0010000000474974513,16.661989212036133,6.418155193328857,4.465010643005371,5.930586814880371,30.364395141601562,18.14765739440918,6.3770246505737305
5,5.545712947845459,0.0010000000474974513,15.3855619430542,5.733519554138184,4.106334209442139,5.774326324462891,26.083770751953125,14.195505142211914,6.233712196350098
6,5.545488357543945,0.0010000000474974513,15.7094087600708,5.839119911193848,4.324798583984375,5.605898380279541,26.137752532958984,15.100172996520996,5.537890911102295
7,5.393449306488037,0.0010000000474974513,14.522228240966797,5.100304126739502,4.028473854064941,5.739978313446045,30.725419998168945,18.820241928100586,6.364466667175293
8,5.25789213180542,0.0010000000474974513,13.215157508850098,4.269894123077393,3.6873719692230225,5.432031154632568,16.892683029174805,6.805917739868164,4.70756196975708
9,5.19425106048584,0.0010000000474974513,13.15640926361084,4.202548980712891,3.759613275527954,5.087919235229492,13.821907997131348,4.984198093414307,3.782273530960083
10,5.0972161293029785,0.0010000000474974513,12.557896614074707,3.8617589473724365,3.5989227294921875,5.2276105880737305,12.966737747192383,3.8887076377868652,3.8713090419769287
11,4.986377716064453,0.0010000000474974513,12.255751609802246,3.8170084953308105,3.4523656368255615,5.054086685180664,12.190629959106445,4.019622325897217,3.140233278274536
12,4.920255661010742,0.0010000000474974513,10.81188678741455,2.728482246398926,3.163146734237671,5.480916500091553,14.524983406066895,4.232124328613281,4.837687015533447
13,4.839045524597168,0.0010000000474974513,10.889522552490234,2.905811309814453,3.144664764404297,5.010335445404053,11.173429489135742,2.4803662300109863,3.6964645385742188
